ind,project,pop,super_pop,gender,related,related_exclude,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
HG00114,1000 Genomes,GBR,EUR,male,false,false,-0.1224,-0.24193,-0.018985,0.087279,-0.0065808,0.004031,-0.061031,-0.018633,-0.0023859,-0.0025912,3.0638E-4,0.0082872,-0.0010266,0.0047434,-0.001805,-0.014198,0.0077666,-0.0035144,-0.0011608,-0.0044859
HG00115,1000 Genomes,GBR,EUR,male,false,false,-0.12194,-0.24702,-0.016974,0.084467,-0.0096453,9.0104E-4,-0.061592,-0.021581,-3.4956E-4,-0.0047472,0.0028581,0.0066424,-0.0054953,0.0075652,-0.0042189,-0.008277,4.4888E-4,-0.012031,0.0031256,0.0013862
HG00116,1000 Genomes,GBR,EUR,male,true,false,-0.12349,-0.24923,-0.016928,0.089476,-0.0069657,0.0054489,-0.060302,-0.02297,0.0013999,-0.0040191,0.0023125,0.0021073,4.8896E-4,7.2087E-4,-0.0062356,-0.011216,0.005576,-0.005601,-0.001345,0.0047965
HG00117,1000 Genomes,GBR,EUR,male,false,false,-0.12584,-0.24363,-0.019553,0.084207,-0.0064602,1.1019E-4,-0.05802,-0.021434,-0.0032818,8.5845E-4,-0.0017998,0.010013,0.0022156,0.0071832,2.213E-4,-0.010213,-2.5339E-4,-0.0049641,4.3096E-4,0.0032358
HG00118,1000 Genomes,GBR,EUR,female,false,false,-0.12548,-0.24628,-0.021184,0.082792,-0.0071446,0.0033019,-0.058181,-0.023226,0.0017463,0.0017846,-0.0019552,0.00719,-0.0023619,0.0041844,-0.0039749,-0.008842,0.0074864,-0.011341,0.0018085,-1.2695E-4
HG00119,1000 Genomes,GBR,EUR,male,false,false,-0.1229,-0.24471,-0.01963,0.087818,-0.0063118,0.0024471,-0.06565,-0.02134,-0.0018506,-6.6854E-4,0.0020582,0.0084204,-0.003224,0.0010212,-0.0020085,-0.0071257,0.0031415,-0.0049099,0.003749,1.4378E-5
HG00120,1000 Genomes,GBR,EUR,female,true,true,-0.1213,-0.24759,-0.020958,0.085028,-0.0037797,0.0021092,-0.057534,-0.01789,6.7289E-4,0.0039556,4.118E-4,0.0068532,0.0029018,0.0028732,4.663E-4,-0.00796,0.0073963,-0.0030681,-0.0038396,0.0030843
HG00121,1000 Genomes,GBR,EUR,female,false,false,-0.12621,-0.24962,-0.01913,0.084517,-0.0060275,0.0040986,-0.065214,-0.021738,-9.6077E-4,-6.4802E-6,6.7319E-4,0.0064711,7.2936E-5,0.006417,-0.0066965,-0.013397,0.0072081,-0.0048672,-0.0040325,0.0036449
HG00122,1000 Genomes,GBR,EUR,female,false,false,-0.12504,-0.24652,-0.024045,0.085847,-0.0078106,0.0024539,-0.060961,-0.018798,-9.2046E-4,0.0059373,0.0038811,0.0084537,-0.0018939,0.005425,-0.0024612,-0.0046675,-4.9899E-4,-0.012854,0.0059191,0.0018187
HG00123,1000 Genomes,GBR,EUR,female,false,false,-0.12367,-0.24612,-0.016343,0.08246,-0.0088425,0.0046434,-0.068595,-0.017572,-0.0027754,0.0023361,0.0018428,0.013689,-0.0023241,0.0052839,-0.0063245,-0.011286,0.0060972,-0.012348,-0.0013129,0.0033827
HG00125,1000 Genomes,GBR,EUR,female,false,false,-0.12347,-0.24366,-0.023012,0.084487,-0.0088552,0.0033555,-0.062622,-0.018961,-0.0037746,-0.0027826,0.0031591,0.010101,8.1394E-4,0.0063627,-0.0082258,-0.013036,-0.0017077,-0.0079375,0.0075607,0.0036471
HG00126,1000 Genomes,GBR,EUR,male,false,false,-0.12422,-0.24847,-0.015074,0.087362,-0.010424,0.0036111,-0.055058,-0.020806,-0.0010484,0.0092835,-0.0029392,0.009491,-3.1136E-4,-4.6849E-4,-0.0051771,-0.01785,9.8087E-4,-0.015072,-0.0073913,0.0041015
HG00127,1000 Genomes,GBR,EUR,female,false,false,-0.12757,-0.2492,-0.019031,0.087171,-0.011042,0.0032563,-0.04926,-0.02151,7.2065E-4,-3.7357E-4,-0.0010937,0.016506,-0.002845,0.0012257,-0.0020484,-9.1419E-4,0.0036706,-0.0060767,-0.0045357,-0.002369
HG00128,1000 Genomes,GBR,EUR,female,false,false,-0.12345,-0.24984,-0.013622,0.088791,-0.0081816,0.0017346,-0.04834,-0.019392,-0.00157,0.0013435,-0.0044078,0.0061076,-5.5807E-4,0.0017547,-0.0055428,-0.0093025,0.0056899,-0.0037937,-2.2805E-4,0.0098375
HG00129,1000 Genomes,GBR,EUR,male,false,false,-0.12347,-0.24833,-0.020574,0.087242,-0.010285,0.0032688,-0.056322,-0.01415,0.002229,0.0045776,4.7428E-4,0.0073738,-0.00129,0.0023967,-0.0011769,-0.0079763,5.3936E-4,-5.9415E-5,0.0040622,0.0024343
HG00130,1000 Genomes,GBR,EUR,female,false,false,-0.12219,-0.24769,-0.015796,0.087674,-0.011316,-0.0013687,-0.04584,-0.016181,6.4794E-4,0.0029397,-0.0015735,0.013325,-0.0032664,0.0087881,-0.0010686,-0.0071866,0.0028577,-0.010527,3.7337E-6,0.008515
HG00131,1000 Genomes,GBR,EUR,male,false,false,-0.11874,-0.24414,-0.017759,0.085426,-0.0037985,0.0039651,-0.053029,-0.015899,5.3031E-4,0.0025168,0.0041639,0.006574,-0.0015313,0.0040897,-0.0071051,-0.0087734,0.0025739,7.8838E-4,-0.0017101,0.0036635
HG00132,1000 Genomes,GBR,EUR,female,false,false,-0.12222,-0.24757,-0.013437,0.084947,-0.0092896,2.8863E-5,-0.049969,-0.014235,-9.1503E-4,0.0070858,-0.0032409,0.0085532,-0.0015323,-0.0045042,-0.0014871,-1.187E-4,0.0084035,-0.0050159,0.0019324,0.0064608
HG00133,1000 Genomes,GBR,EUR,female,false,false,-0.12062,-0.25041,-0.014328,0.083722,-0.0088305,6.1732E-4,-0.05065,-0.020372,-0.0023663,0.003296,-0.007235,0.012395,0.0015525,0.0043791,-0.0026425,-0.0097476,5.3207E-4,-0.0036873,-0.0016909,0.0033323
HG00136,1000 Genomes,GBR,EUR,male,false,false,-0.12362,-0.24474,-0.018103,0.088195,-0.0084211,6.6708E-4,-0.050781,-0.021086,-5.7416E-4,-5.494E-4,1.4146E-4,0.010949,-0.0044401,0.0019409,0.0011623,-0.012502,-0.0033977,-0.0017455,0.0049594,0.0057958
HG00137,1000 Genomes,GBR,EUR,female,false,false,-0.12241,-0.25014,-0.016179,0.089436,-0.0072654,0.0038756,-0.056223,-0.019422,3.904E-4,0.0062126,5.7984E-4,0.013771,-0.0026458,0.0043845,-0.0016697,-0.0085723,0.0081757,-0.0086414,-0.0029542,0.009139
HG00138,1000 Genomes,GBR,EUR,male,false,false,-0.1229,-0.24917,-0.020355,0.091257,-0.01302,0.0055371,-0.051332,-0.017531,0.001141,0.0054705,-0.0042416,0.0077659,6.6633E-4,8.946E-4,-0.0025202,-0.015824,0.0035764,-0.011979,0.0016862,0.0082911
HG00139,1000 Genomes,GBR,EUR,male,false,false,-0.12098,-0.25018,-0.01705,0.09446,-0.0099921,0.0015727,-0.050408,-0.014437,0.0026736,0.0073145,9.1584E-4,0.01436,-8.8248E-4,0.0061508,-0.0047239,-0.0077573,0.0066031,0.0025142,0.0025394,0.0069065
HG00140,1000 Genomes,GBR,EUR,male,false,false,-0.12626,-0.24631,-0.015581,0.085847,-0.0095105,0.0011762,-0.05623,-0.015926,-0.0039179,-8.3371E-4,3.7464E-6,0.008625,0.0012585,0.0042302,-0.0019356,-0.012717,0.0071169,-0.012006,-8.9E-5,-0.0020277
HG00141,1000 Genomes,GBR,EUR,male,false,false,-0.12738,-0.24914,-0.021583,0.085776,-0.0085395,0.0037611,-0.057818,-0.019317,9.6183E-4,-0.0059557,-0.0044028,0.0067449,0.0021417,0.0087934,7.7551E-4,-0.007976,0.0015014,-0.0073101,-7.4833E-4,-0.0012734
HG00142,1000 Genomes,GBR,EUR,male,false,false,-0.12262,-0.24779,-0.012394,0.088436,-0.0025826,0.0038435,-0.047173,-0.019505,-0.0038706,3.4747E-4,-1.6327E-4,0.0068496,-8.2472E-4,0.0057242,-0.0041319,-0.0053728,-0.0014063,-6.943E-4,5.3341E-4,0.008755
HG00143,1000 Genomes,GBR,EUR,male,false,false,-0.12064,-0.25,-0.015944,0.088485,-0.0095022,-0.0044683,-0.050409,-0.014137,-0.0020544,0.0012334,1.4283E-4,0.001249,-0.0036429,0.010107,-0.0027567,-0.0087813,0.0055441,-0.0089008,-2.2234E-4,0.001262
HG00145,1000 Genomes,GBR,EUR,male,false,false,-0.12453,-0.24383,-0.017061,0.082391,-0.010867,0.0010956,-0.045513,-0.016975,-0.0034029,-0.005858,-0.0025279,0.0093934,7.9921E-4,0.0025498,-7.1829E-4,-0.011165,0.001758,-0.0082664,0.0016172,0.0041195
HG00146,1000 Genomes,GBR,EUR,female,false,false,-0.1239,-0.25015,-0.017809,0.089421,-0.012316,0.0017139,-0.051648,-0.027192,-0.0020023,3.0497E-4,-0.0026092,2.7776E-4,1.1404E-4,0.0063492,-0.0024906,-0.0045405,0.0019891,-0.0023602,0.0042075,0.0053167
HG00148,1000 Genomes,GBR,EUR,male,false,false,-0.1246,-0.2481,-0.018584,0.088172,-0.0076095,0.0029639,-0.047141,-0.023847,3.4521E-4,0.0016752,0.0015737,0.0031002,-0.0014517,0.0037172,2.8875E-4,-0.0078041,5.3553E-4,-0.0047377,-0.0073766,0.010727
HG00149,1000 Genomes,GBR,EUR,male,false,false,-0.12019,-0.24926,-0.020259,0.090252,-0.0077414,0.003709,-0.052125,-0.020333,5.4361E-5,0.0029134,-0.0010246,0.0087551,-0.0010804,0.0095407,-0.0041165,-0.0068328,-0.0033087,-0.0030254,0.005628,-0.0060697
HG00150,1000 Genomes,GBR,EUR,female,false,false,-0.12398,-0.24703,-0.01934,0.088266,-0.0095113,0.0049026,-0.052179,-0.019285,1.3811E-4,3.3617E-4,-0.0050654,0.0048444,0.0012551,0.0084504,-0.0051574,-0.008977,0.0014132,-5.2886E-4,0.0046254,0.0073092
HG00151,1000 Genomes,GBR,EUR,male,false,false,-0.12062,-0.24316,-0.020948,0.084015,-0.011606,0.0016134,-0.052337,-0.020173,-0.0023982,0.0015578,0.003931,0.0033813,0.0021556,0.0033508,-2.2114E-4,-0.014036,0.0062024,-0.0050046,0.0025893,-0.0028426
HG00155,1000 Genomes,GBR,EUR,male,false,false,-0.12555,-0.24316,-0.021231,0.087272,-0.0084297,5.1417E-4,-0.057894,-0.021037,0.0010359,-0.0027803,-5.0009E-4,0.0068861,-0.0015204,0.0066398,-9.3067E-4,-0.0068068,0.0064939,-0.0066024,0.0014179,0.0050996
HG00157,1000 Genomes,GBR,EUR,male,false,false,-0.12258,-0.24718,-0.016494,0.090503,-0.011197,8.6431E-5,-0.051154,-0.019799,-7.2499E-4,0.003889,-0.001379,0.0063523,0.0028519,0.0043641,-7.8186E-4,-0.009705,0.010128,2.9164E-5,7.6636E-4,2.3141E-4
HG00158,1000 Genomes,GBR,EUR,female,false,false,-0.12128,-0.24466,-0.024057,0.084162,-0.0070176,0.0017454,-0.054917,-0.017015,6.5952E-4,-0.0060497,-0.0024711,0.016655,-0.0015968,0.0036417,-0.0051957,-0.011668,0.005148,-0.005464,-0.0041154,0.002807
HG00159,1000 Genomes,GBR,EUR,male,false,false,-0.12395,-0.2471,-0.019614,0.085803,-0.0099947,0.0012061,-0.051736,-0.021636,4.6452E-4,0.0013076,-1.466E-4,0.012957,0.0016341,0.0050058,-0.0020226,-0.013159,0.0032585,-0.009434,0.0034986,0.0016014
HG00160,1000 Genomes,GBR,EUR,male,false,false,-0.12664,-0.24802,-0.017447,0.09083,-0.01275,0.003384,-0.05383,-0.017512,-0.0027888,4.4728E-5,-0.0049309,0.011919,-0.0063657,-0.0028979,7.5036E-4,-0.010172,0.0052202,-3.4759E-4,-0.0026779,8.2417E-4
HG00171,1000 Genomes,FIN,EUR,female,false,false,-0.13836,-0.20201,-0.033442,0.07537,-0.009609,0.0046596,-0.14058,-0.012767,-0.0043437,-0.03629,0.046612,-0.061578,0.0080988,-0.0060103,-0.0011653,-0.0077169,-0.024396,0.072671,0.0014979,-0.011343
HG00173,1000 Genomes,FIN,EUR,female,false,false,-0.13754,-0.20822,-0.031678,0.078557,-0.0051635,0.0015023,-0.13296,-0.019215,-0.0055315,-0.030231,0.04188,-0.057722,0.01539,-0.002511,-9.7303E-4,-0.013905,-0.024927,0.068377,0.0015292,-0.0048175
HG00174,1000 Genomes,FIN,EUR,female,false,false,-0.12958,-0.21959,-0.028106,0.084555,-0.010589,0.0031967,-0.10895,-0.016601,-0.0066136,-0.025353,0.028373,-0.040649,0.0086094,0.0030249,-0.0022781,-0.010005,-0.014631,0.048527,-0.0021223,0.0019897
HG00176,1000 Genomes,FIN,EUR,female,false,false,-0.13561,-0.20288,-0.028509,0.078764,-0.014793,0.0046147,-0.1291,-0.015134,-0.0055417,-0.034972,0.046229,-0.064979,0.010037,-0.0023739,-0.0034781,-0.010949,-0.03074,0.067698,0.0015776,-0.0071521
HG00177,1000 Genomes,FIN,EUR,female,false,false,-0.13435,-0.19868,-0.02836,0.075197,-0.008856,0.0043376,-0.12791,-0.0093998,-0.0062609,-0.036778,0.043223,-0.067484,0.013698,3.7266E-4,-0.0028029,-0.0083103,-0.024937,0.062428,0.0044577,-0.0085286
HG00178,1000 Genomes,FIN,EUR,female,false,false,-0.13492,-0.21025,-0.026848,0.081076,-0.013276,8.2793E-4,-0.12831,-0.014395,-0.0030732,-0.025583,0.037595,-0.052684,0.0083815,-6.5566E-4,2.539E-4,-0.0051179,-0.018858,0.06021,-0.0082043,-0.0040725
HG00179,1000 Genomes,FIN,EUR,female,false,false,-0.13229,-0.20623,-0.027553,0.077747,-0.0054919,0.0026513,-0.12646,-0.012306,-0.0084819,-0.029786,0.037492,-0.057617,0.010816,-0.0046867,0.0032999,-0.0090617,-0.025935,0.057704,0.0040877,-0.0020039
HG00180,1000 Genomes,FIN,EUR,female,false,false,-0.13592,-0.20543,-0.027291,0.081948,-0.0092054,0.0029982,-0.12344,-0.01404,-0.0048178,-0.033003,0.041002,-0.058474,0.0088144,-0.005403,-0.0015445,-0.011664,-0.025783,0.056685,-0.010358,-8.7396E-4
HG00181,1000 Genomes,FIN,EUR,male,false,false,-0.12247,-0.21131,-0.016523,0.078725,-0.0087727,0.0035203,-0.076206,-0.0022347,0.0020191,-0.026658,0.028996,-0.042426,0.010429,-0.0069345,0.0035932,-0.0068238,-0.021433,0.04194,-0.0050565,-6.5595E-4
HG00182,1000 Genomes,FIN,EUR,male,false,false,-0.13282,-0.20011,-0.031116,0.076162,-0.0076649,0.0034287,-0.13119,-0.010509,-0.0043961,-0.036548,0.043222,-0.064376,0.0074426,-0.0039556,0.0014803,-0.0089886,-0.031728,0.067027,-0.0090685,-0.009437
HG00183,1000 Genomes,FIN,EUR,male,false,false,-0.13525,-0.20382,-0.025575,0.072562,-0.01098,0.00314,-0.13272,-0.014214,-0.0097079,-0.031014,0.044227,-0.062989,0.010917,-0.0042897,-0.0034882,-0.012538,-0.029996,0.072612,-2.2655E-4,-0.0015655
HG00185,1000 Genomes,FIN,EUR,male,false,false,-0.13276,-0.20278,-0.025522,0.07569,-0.00808,0.0043289,-0.13788,-0.014449,-0.0039169,-0.040518,0.047345,-0.061215,0.0091422,-0.0015507,1.0555E-5,-0.0069686,-0.023853,0.066892,-0.0013698,-0.0084886
HG00186,1000 Genomes,FIN,EUR,male,false,false,-0.13516,-0.20805,-0.032443,0.081158,-0.013811,0.0053245,-0.13326,-0.014978,-0.0056951,-0.031694,0.047541,-0.067708,0.010597,-0.0036085,6.7009E-4,-0.0042874,-0.034814,0.075687,-0.0083047,-0.010171
HG00187,1000 Genomes,FIN,EUR,male,false,false,-0.13245,-0.1978,-0.030942,0.079761,-0.0058684,0.0022631,-0.13556,-0.0073756,-0.0034788,-0.037002,0.051137,-0.070915,0.0096627,-0.001248,-2.7719E-5,-0.0049204,-0.035969,0.07434,-0.0096162,-0.0043129
HG00188,1000 Genomes,FIN,EUR,male,false,false,-0.1352,-0.21156,-0.028229,0.080491,-0.012447,1.9571E-4,-0.12428,-0.014736,-0.0042398,-0.028461,0.039865,-0.055174,0.0056807,-0.0038397,0.0033082,-0.0093871,-0.024305,0.069645,-0.0049889,-0.0083644
HG00189,1000 Genomes,FIN,EUR,male,false,false,-0.13207,-0.20453,-0.027341,0.08004,-0.0092887,0.0027502,-0.12215,-0.020597,-0.0076344,-0.024159,0.03368,-0.050431,0.0057392,-2.5571E-4,0.0020487,-0.004688,-0.022399,0.053615,5.0057E-4,-0.0037597
HG00190,1000 Genomes,FIN,EUR,male,false,false,-0.13258,-0.21375,-0.023483,0.078214,-0.0066832,0.0041359,-0.11393,-0.017493,-0.0068838,-0.028545,0.03153,-0.041797,0.0091804,6.9261E-4,7.1762E-4,-0.011053,-0.022763,0.045679,-0.003073,-0.0093858
HG00231,1000 Genomes,GBR,EUR,female,false,false,-0.12285,-0.24812,-0.019765,0.087006,-0.0053099,0.004026,-0.042431,-0.019535,-0.0018012,0.0012228,4.8635E-4,0.015088,-0.0056381,0.0045969,-0.0029585,-0.001074,0.0034448,-0.005993,3.4686E-4,0.0034767
HG00232,1000 Genomes,GBR,EUR,female,false,false,-0.12299,-0.25246,-0.018395,0.08187,-0.008186,0.0022804,-0.04927,-0.013865,-0.001624,3.9946E-5,-0.0017609,0.010139,-8.7558E-4,0.0078073,0.0038586,-0.0097262,0.0024371,-0.010249,0.0053539,0.0047195
HG00233,1000 Genomes,GBR,EUR,female,false,false,-0.123,-0.25,-0.017537,0.088334,-0.010264,0.0013712,-0.046985,-0.019622,-0.0020558,-0.0015534,-0.0050242,0.014735,-0.0054844,0.0019787,-0.0074363,-0.0066306,0.0019749,-0.0085246,0.0020831,-0.0025758
HG00234,1000 Genomes,GBR,EUR,male,false,false,-0.12535,-0.24984,-0.014299,0.088358,-0.014622,-7.9473E-5,-0.05217,-0.019353,-0.0017159,0.004313,-0.0038245,0.01137,-0.002944,0.0064791,0.002154,-0.01411,0.0047089,-0.0092811,-9.2646E-4,0.0049278
HG00235,1000 Genomes,GBR,EUR,female,false,false,-0.12212,-0.24754,-0.017316,0.085863,-0.0084061,9.7196E-4,-0.053461,-0.018412,-0.0022634,3.2054E-4,1.8777E-5,0.0085638,7.8092E-4,0.0094318,-5.9195E-5,-0.0094231,0.0055823,-0.0097836,-0.0062018,0.0022082
HG00236,1000 Genomes,GBR,EUR,female,false,false,-0.11814,-0.24735,-0.021123,0.091095,-0.0079059,0.0038047,-0.054527,-0.017206,-0.0036963,0.0068042,-0.0041319,0.0084852,-7.6616E-4,0.0034092,-4.1004E-4,-0.0084613,0.0047136,-0.002395,0.00523,0.0077784
HG00237,1000 Genomes,GBR,EUR,female,false,false,-0.12042,-0.24622,-0.016263,0.087062,-0.0047,0.0011585,-0.05116,-0.02154,-0.0033953,0.0015154,-0.0040824,0.010403,0.0053232,0.0015471,-0.001576,-0.0079541,-5.0905E-4,-0.0057339,-0.0018344,-0.0016403
HG00238,1000 Genomes,GBR,EUR,female,true,false,-0.12492,-0.24221,-0.018411,0.082403,-0.010573,0.0012376,-0.045344,-0.016202,-1.3284E-4,5.3493E-4,-0.0031586,0.011819,1.225E-4,0.0030549,-0.0011116,-0.0041498,0.0043614,-0.0063882,-2.3872E-4,0.0045757
HG00239,1000 Genomes,GBR,EUR,female,false,false,-0.12178,-0.24969,-0.017639,0.086915,-0.0086126,-6.8459E-4,-0.056359,-0.017218,-0.0013691,0.0035059,-0.0034467,0.008948,-0.0018619,0.0019626,-0.0051354,-0.015141,0.0074148,-0.0069854,-9.7307E-4,0.0042484
HG00240,1000 Genomes,GBR,EUR,female,true,true,-0.12354,-0.24547,-0.018896,0.084553,-0.0073809,0.0011329,-0.051394,-0.020117,-0.0014876,0.0056392,-0.0016242,0.0062879,8.2883E-5,0.0033262,-0.0036339,-0.010676,0.0015848,-0.0078784,-0.0014904,0.0061957
HG00242,1000 Genomes,GBR,EUR,male,false,false,-0.12175,-0.24557,-0.021126,0.085181,-0.0075579,0.0017281,-0.052181,-0.022474,-0.0058635,0.0053213,-2.9166E-4,0.0069735,-0.0041304,-0.0050754,-0.0040364,-0.0095175,0.0062794,-0.012084,0.0031246,9.4961E-4
HG00243,1000 Genomes,GBR,EUR,male,false,false,-0.12129,-0.25063,-0.022338,0.083022,-0.0068491,0.0019529,-0.055513,-0.018095,-0.0040038,-2.7972E-4,-0.0030503,0.0098007,-7.1832E-4,0.0076852,-0.0060288,-0.0078531,0.0047566,-0.01022,0.004231,0.0092095
HG00244,1000 Genomes,GBR,EUR,male,false,false,-0.1249,-0.24761,-0.018743,0.086238,-0.010037,6.1444E-4,-0.04198,-0.022047,0.0043575,0.0042227,-0.0064622,0.011985,-0.0058817,0.0049821,-5.4595E-4,-0.0049893,0.010325,-0.009047,-0.0073256,8.2218E-4
HG00245,1000 Genomes,GBR,EUR,female,false,false,-0.12101,-0.24529,-0.017635,0.08628,-0.0086081,0.0024258,-0.052888,-0.018709,-5.8616E-4,0.0011129,-0.0067831,0.0096588,-0.0023773,0.0071388,-0.0019231,-0.0049831,0.0045787,-0.00264,8.596E-4,0.0079946
HG00246,1000 Genomes,GBR,EUR,male,false,false,-0.12236,-0.2476,-0.016467,0.08373,-0.013408,5.1102E-4,-0.048087,-0.022399,0.0025289,5.9641E-4,-0.0070953,0.0099034,-3.572E-4,0.0068859,-0.00243,-0.0027649,0.012193,-0.0083608,0.0020201,-0.005933
HG00250,1000 Genomes,GBR,EUR,female,false,false,-0.12449,-0.24765,-0.016495,0.087156,-0.0087867,0.0012584,-0.051598,-0.0194,-0.0039684,0.0011702,-1.4681E-4,0.0057327,-0.0031608,0.0031108,-0.0032736,-0.011583,0.0076137,-0.001483,-3.0109E-4,0.0055576
HG00251,1000 Genomes,GBR,EUR,male,false,false,-0.1233,-0.2464,-0.017031,0.079856,-0.0096663,0.0043668,-0.046608,-0.014783,-4.4591E-4,-2.206E-4,-0.0012056,0.012532,-0.0035302,0.003905,-0.0024607,-0.0080524,0.0084421,-0.013236,0.0025861,-0.0012131
HG00252,1000 Genomes,GBR,EUR,male,false,false,-0.12555,-0.24501,-0.017201,0.088981,-0.0049411,0.0017781,-0.054167,-0.018401,0.001032,0.0013548,-0.0025122,0.0097102,0.0026069,0.0087311,2.0245E-4,-0.0057973,0.0030553,-0.0095263,0.0025953,0.0026297
