ind,pop,super_pop,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HG00122,GBR,EUR,female,-0.00996753,0.0255786,0.0112422,-0.0158579,-0.0164898,0.0108108,-0.00199879,-0.0338092,0.0427007,-0.0278429
HG00123,GBR,EUR,female,-0.00908906,0.0228003,0.0152945,-0.0154496,-0.00910085,-0.0347051,0.0190313,0.0125615,-0.0260266,0.00609092
HG00125,GBR,EUR,female,-0.0109761,0.0274667,0.0114839,-0.0171171,-0.00668339,-0.0314861,0.0147083,-0.0157415,0.0125622,-0.019966
HG00126,GBR,EUR,male,-0.010792,0.0262707,0.0106936,-0.0170801,-8.94177e-4,0.0159442,-0.00770947,-0.0146994,0.0266567,-0.0161553
HG00127,GBR,EUR,female,-0.0109833,0.0257038,0.0126011,-0.0173088,-0.0129733,0.00997736,-0.0142745,-0.021464,0.0269102,0.0313531
HG00128,GBR,EUR,female,-0.0117964,0.028859,0.014006,-0.0176815,-4.22861e-4,0.0150964,-0.00553296,-0.0279308,0.00194082,-1.85523e-4
HG00129,GBR,EUR,male,-0.0116106,0.0293883,0.0148496,-0.0165707,-0.00133623,0.0183213,-0.00243095,-0.0213558,-0.0155939,0.00797734
HG00130,GBR,EUR,female,-0.0109998,0.0279372,0.0117486,-0.0150982,-0.00571976,0.0289186,-0.013146,-0.0164067,0.0110735,6.31955e-4
HG00131,GBR,EUR,male,-0.0113393,0.0261576,0.0111524,-0.0200948,3.1294e-4,-0.0314239,0.0136112,0.0181811,-0.0224605,0.0212463
HG00132,GBR,EUR,female,-0.0113545,0.0259975,0.00716146,-0.01934,-0.0134101,0.0128974,-0.00735306,-0.017652,0.0201685,0.0111926
HG00133,GBR,EUR,female,-0.00978222,0.0261218,0.0124482,-0.020418,-0.0137366,-0.024402,-6.42341e-5,0.037163,0.0305163,0.0302509
HG00136,GBR,EUR,male,-0.0112542,0.026497,0.0181289,-0.0173462,0.00127267,-0.0239482,-0.00457259,0.00295647,0.00545129,-0.017658
HG00137,GBR,EUR,female,-0.0107319,0.0249857,0.0134246,-0.0201546,0.0145624,-0.0274211,0.0133021,0.00480386,-0.0174079,-0.00653659
HG00138,GBR,EUR,male,-0.012424,0.0291494,0.00909429,-0.0210234,0.00979851,-0.0271617,0.00265319,2.2619e-4,0.0158363,0.00116114
HG00139,GBR,EUR,male,-0.0107252,0.0274659,0.0117709,-0.0190852,0.00671089,-0.0206596,0.0157516,-0.00352401,-5.55644e-4,-0.0312977
HG00140,GBR,EUR,male,-0.0103768,0.0247182,0.0138841,-0.0230594,0.00295359,-0.011705,0.0130333,-0.00555137,2.58081e-4,-0.0345518
HG00141,GBR,EUR,male,-0.0110384,0.0277598,0.0124221,-0.0149536,0.00146992,0.0194359,-0.00117732,-0.0267788,0.0366705,0.0402224
HG00142,GBR,EUR,male,-0.0123614,0.0256112,0.0116892,-0.0174552,0.00229716,0.00829473,0.0121516,-0.0365512,-0.0235777,0.0211024
HG00143,GBR,EUR,male,-0.0102485,0.0263846,0.00948594,-0.0117863,0.0059657,0.00881799,-0.00652001,-0.0284418,0.0102854,0.0161091
HG00145,GBR,EUR,male,-0.0116125,0.0276521,0.0145306,-0.0180888,-0.0144004,-0.0151017,0.00737042,0.018758,0.0345329,0.0115464
HG00146,GBR,EUR,female,-0.0107099,0.0268257,0.0134106,-0.0211886,-0.00433404,-0.0234748,0.0186095,0.00741705,-0.0215839,0.00452292
HG00148,GBR,EUR,male,-0.0100988,0.0267886,0.011071,-0.0213933,-0.0147528,0.0249818,-0.00986236,-0.0188584,0.0408841,-0.0110709
HG00149,GBR,EUR,male,-0.0107504,0.0284404,0.0126027,-0.0156789,0.00491445,0.0022623,-0.00244698,-0.039302,0.00344234,0.00609814
HG00150,GBR,EUR,female,-0.0105453,0.0272005,0.0110139,-0.0157576,-0.002355,0.00568175,-0.010414,-0.0331989,0.01409,-0.00449047
HG00151,GBR,EUR,male,-0.0107712,0.0273671,0.0121642,-0.0167468,-0.00356715,-6.67416e-4,0.0164226,-0.0382112,-0.0213326,-0.0457551
HG00154,GBR,EUR,female,-0.0113519,0.0265596,0.0122713,-0.0163072,-0.0019946,-0.028891,0.0125477,-0.00481296,0.014555,-0.022819
HG00155,GBR,EUR,male,-0.0108764,0.0286578,0.017913,-0.0168635,-0.00496909,-0.0208565,0.020299,0.00578236,-0.0196041,0.00957465
HG00157,GBR,EUR,male,-0.0114586,0.0280415,0.0186746,-0.0174503,-1.1326e-4,-0.017539,0.0214436,0.0051589,-0.0222852,0.0217614
HG00158,GBR,EUR,female,-0.0110295,0.0247991,0.0158817,-0.0159761,0.00562892,-0.0470279,0.00981904,0.0182474,-0.00895564,0.00865135
HG00159,GBR,EUR,male,-0.0106393,0.0270061,0.0111793,-0.0165894,-0.0136181,-0.0254224,0.0199841,0.0359259,-2.47117e-4,0.0400756
HG00160,GBR,EUR,male,-0.0102673,0.0272313,0.0171551,-0.0232534,-0.0242667,-0.0150393,0.0075479,0.0131796,0.0400342,0.00352157
HG00171,FIN,EUR,female,-0.0118668,0.022129,0.0140882,-0.0159253,-0.0155362,-0.0389268,0.0349844,-0.0736839,0.0213386,0.00865722
HG00173,FIN,EUR,female,-0.0121132,0.0226959,0.0131255,-0.011661,-0.00942172,-0.020504,0.0344558,-0.0829967,0.0188298,-0.00415205
HG00174,FIN,EUR,female,-0.0116409,0.0256205,0.0179055,-0.0159917,-0.00871548,-0.0134589,0.0231923,-0.038898,0.0240586,-0.0278629
HG00176,FIN,EUR,female,-0.0126836,0.0249058,0.0176254,-0.0150014,-0.014255,-0.0250658,0.0444639,-0.055679,-0.00640547,0.0381217
HG00177,FIN,EUR,female,-0.0122891,0.0209546,0.0139443,-0.0144176,-0.00829185,-0.00824632,0.033403,-0.0792898,-0.008033,0.0296888
HG00178,FIN,EUR,female,-0.010904,0.022107,0.0173173,-0.0215118,-0.0219875,-0.0049204,0.035353,-0.0602425,0.0321471,0.00199026
HG00179,FIN,EUR,female,-0.0125462,0.019785,0.0133917,-0.0104874,-0.0241362,-0.0182822,0.0261426,-0.078405,0.038946,0.0256667
HG00180,FIN,EUR,female,-0.0118795,0.0239472,0.0101081,-0.0163226,-0.00392991,-0.00734073,-6.43379e-4,-0.0523734,0.0371296,0.0303154
HG00181,FIN,EUR,male,-0.00960705,0.0213913,0.0156173,-0.0123937,-0.0157324,-0.00791661,0.017527,-0.0340777,-0.00249549,-0.0241301
HG00182,FIN,EUR,male,-0.0127693,0.0226398,0.0144146,-0.0137651,-0.00867692,-0.0167,0.0243983,-0.0685524,0.0170601,-0.00690751
HG00183,FIN,EUR,male,-0.0114989,0.0220055,0.0165622,-0.0161984,-0.0081693000000000009,-0.0140218,0.0251432,-0.0429358,-0.0125933,-0.0470673
HG00185,FIN,EUR,male,-0.0113659,0.0221973,0.0151825,-0.0129816,-0.00729579,-0.00919158,0.0374081,-0.0543235,-0.0208523,0.00285183
HG00186,FIN,EUR,male,-0.0119418,0.0239554,0.0132276,-0.0136906,-0.00627751,-0.0358484,0.0479391,-0.0701729,-0.0197108,0.0166281
HG00187,FIN,EUR,male,-0.0116995,0.0251181,0.0153619,-0.0162525,-0.0199931,-0.0208026,0.0180183,-0.067276,0.0387342,0.0180722
HG00188,FIN,EUR,male,-0.0113506,0.0235525,0.0122192,-0.0100213,-0.00824335,-0.0134708,0.0307157,-0.0713908,-0.0224958,0.0146133
HG00189,FIN,EUR,male,-0.0120419,0.0227935,0.0136323,-0.0170706,-0.00254968,-0.00484293,0.0271415,-0.065895,-0.0232297,9.03746e-4
HG00190,FIN,EUR,male,-0.0112896,0.0231295,0.0112653,-0.0132472,-0.0126003,-0.0113758,0.0124621,-0.0562559,0.0116425,-0.0261317
HG00231,GBR,EUR,female,-0.0116508,0.0281992,0.0117018,-0.0189123,0.00738049,0.00906523,0.00329477,-0.0250294,0.00257502,0.0110197
HG00232,GBR,EUR,female,-0.0113161,0.0249668,0.0101406,-0.0150663,-0.00966819,-0.0228634,0.00739811,0.00527108,0.013188,0.00543279
HG00233,GBR,EUR,female,-0.0105476,0.0261915,0.0102063,-0.0145264,-0.0122074,0.0161162,-0.020501,-0.0245043,0.0093613,-0.00956788
HG00234,GBR,EUR,male,-0.0109245,0.0271364,0.0131825,-0.0168207,-0.00512396,0.0212358,-0.00562945,-0.0287253,0.0115013,-0.0229218
HG00235,GBR,EUR,female,-0.011161,0.0270606,0.0118789,-0.0109386,0.00825167,0.00357153,-0.0125015,-0.0333188,-0.0260155,0.0237502
HG00236,GBR,EUR,female,-0.0109753,0.0276089,0.0194693,-0.0177409,-0.00771888,-0.0161628,-0.00201208,0.00229088,0.0157562,-0.0170937
HG00237,GBR,EUR,female,-0.0119297,0.0264642,0.00964086,-0.0170072,-0.00387128,-0.0294971,0.00927162,0.00602497,-0.00965854,-0.0140678
HG00238,GBR,EUR,female,-0.0115154,0.0264109,0.0108735,-0.0176931,-0.00999931,0.0208345,-0.0121075,-0.0157348,0.0370026,0.0294747
HG00239,GBR,EUR,female,-0.01052,0.0275324,0.0116778,-0.0199567,-0.0215977,-0.0035908,0.0026389,0.0170624,0.0231081,0.0304791
HG00240,GBR,EUR,female,-0.0111016,0.0278484,0.0121303,-0.0172087,-0.00721675,0.0179976,-0.00739799,-0.0223289,0.0151098,0.0377242
HG00242,GBR,EUR,male,-0.0107726,0.0279666,0.0168398,-0.0216408,-0.017562,-0.0107568,0.00977708,0.00804289,0.00990993,8.56582e-4
HG00243,GBR,EUR,male,-0.0111316,0.0283843,0.0161736,-0.0160787,-0.0157926,-0.0138739,0.0108639,0.0155196,-0.00223865,-0.0102779
HG00244,GBR,EUR,male,-0.0104867,0.0280432,0.0164381,-0.0165133,-0.00663091,-0.0148035,0.00543355,0.0169855,-0.0104183,-0.00147393
HG00245,GBR,EUR,female,-0.0107521,0.0262715,0.0129135,-0.0217435,-0.0141728,-0.0173083,0.00375162,0.0218138,0.00485321,-0.0161766
HG00246,GBR,EUR,male,-0.00993289,0.0257999,0.0115118,-0.0163543,-0.014179,-0.0203626,0.00537432,-0.00540549,0.0351459,0.0130765
HG00250,GBR,EUR,female,-0.011448,0.025829,0.0111992,-0.018378,0.00828719,-0.00920193,0.00981234,-0.0122616,0.0105411,-0.0084843
HG00251,GBR,EUR,male,-0.0114786,0.0251473,0.0119254,-0.0176109,-0.00578671,-0.00314963,0.00293197,0.0148079,0.0379475,-0.00824415
HG00252,GBR,EUR,male,-0.0124836,0.0263522,0.0168893,-0.0169439,0.0127112,-0.0209679,0.00169079,-0.0115714,0.00979755,-0.00326974
HG00253,GBR,EUR,female,-0.0110183,0.0283083,0.0123591,-0.0252797,-0.00868525,-0.00572272,-0.0110612,-0.00926415,0.0423099,-0.0244911
HG00254,GBR,EUR,female,-0.0121118,0.0270944,0.0135113,-0.0190074,-0.00297864,-0.021386,0.0165113,-0.00681009,0.0149807,-1.99777e-4
HG00255,GBR,EUR,female,-0.0113187,0.0253217,0.0134414,-0.0228408,-0.00642372,-0.00787854,-0.00846037,0.0127051,0.0504598,0.036567
HG00256,GBR,EUR,male,-0.012456,0.0250621,0.0130472,-0.0211892,-0.00608916,-0.0248943,0.0147199,0.00466624,-0.0160563,-0.0126785
HG00257,GBR,EUR,female,-0.010981,0.0270102,0.011684,-0.0171827,0.0117651,-0.0209774,0.0129715,0.00390854,-0.00556667,-0.0115657
HG00258,GBR,EUR,female,-0.0118395,0.0263781,0.0138028,-0.0106316,-0.00211981,-0.0412744,0.0209672,0.0160351,-0.0336946,0.0299839
HG00259,GBR,EUR,female,-0.0105824,0.0250306,0.0142278,-0.0212403,-0.0110507,-0.0110024,-0.00809306,0.00744775,0.0339719,-0.0259111
HG00260,GBR,EUR,male,-0.0110395,0.025748,0.0136563,-0.0184436,-0.00522856,-0.0171623,0.0139476,0.00183089,-0.00671828,-0.0377082
HG00261,GBR,EUR,female,-0.0111747,0.0258025,0.0129585,-0.0197874,0.00846106,-0.0163853,0.00333763,0.00699998,0.0081712,0.00939671
HG00262,GBR,EUR,female,-0.0122018,0.023498,0.0152429,-0.017484,-0.0134176,-0.0324094,0.00547072,0.013301,0.0228282,0.00516731
HG00263,GBR,EUR,female,-0.0104559,0.0263869,0.0153124,-0.0134875,-3.94985e-4,-0.0201627,-0.0031212,0.00546937,0.0093056,-0.020371
HG00264,GBR,EUR,male,-0.0116171,0.0254793,0.0144659,-0.0154539,-0.010751,-0.0224723,0.0187878,0.0231262,-0.0251457,-0.00246438
HG00265,GBR,EUR,male,-0.011368,0.0285605,0.010738,-0.0187776,-7.16159e-4,-0.0145351,0.0202405,0.00828504,-0.021184,-0.0274605
HG00266,FIN,EUR,female,-0.012577,0.0225031,0.0144686,-0.0138349,-0.013001,-0.0192486,0.0246655,-0.0754802,0.00922484,0.00845097
HG00267,FIN,EUR,male,-0.0116397,0.0243829,0.00768212,-0.0134777,-0.00152817,-0.0270187,0.026735,-0.0828145,-0.024636,0.00483072
HG00268,FIN,EUR,female,-0.0112722,0.0266529,0.0122234,-0.0120462,-0.00248476,-0.0447163,0.0440719,-0.0335048,-0.0188568,0.0132776
HG00269,FIN,EUR,female,-0.0106721,0.0217539,0.0157701,-0.0130616,-0.0132905,-0.0235645,0.0472852,-0.0826556,-0.014109,0.00802427
HG00271,FIN,EUR,male,-0.0113175,0.0230858,0.0130411,-0.0185662,-0.00463348,-0.0547301,0.0518749,-0.0594446,0.0105645,0.0100619
HG00272,FIN,EUR,female,-0.0111445,0.0221218,0.0143792,-0.0173395,-0.0149147,-0.0488128,0.0377329,-0.0420769,0.0208728,-0.00525081
HG00273,FIN,EUR,male,-0.01152,0.0234547,0.0151256,-0.0131546,-0.00710794,-0.0352881,0.0449666,-0.0485227,-0.00128485,0.017664
HG00274,FIN,EUR,female,-0.0122324,0.0240907,0.0151,-0.0150395,-0.0162433,-0.0430255,0.0400208,-0.0521529,0.0136113,0.0123146
HG00275,FIN,EUR,female,-0.0112932,0.0247427,0.0121137,-0.0173154,-0.00160487,-0.0568728,0.0498967,-0.0488856,-0.0125048,0.0227208
HG00276,FIN,EUR,female,-0.0102218,0.022892,0.0145252,-0.0109825,-0.00667238,-0.0599653,0.0342319,-0.0651766,0.0159737,-0.0213138
HG00277,FIN,EUR,male,-0.011421,0.0245464,0.0136376,-0.0203645,-0.0140024,-0.0341312,0.0297586,-0.0327677,0.0177139,-0.0209151
HG00278,FIN,EUR,male,-0.011575,0.0218041,0.0100598,-0.0164793,-0.0158488,-0.050815,0.0385496,-0.0509815,0.00663431,5.52439e-4
HG00280,FIN,EUR,male,-0.0122775,0.0202446,0.0132259,-0.014204,-0.0167892,-0.0432632,0.0505225,-0.0519631,-0.0210056,0.00326706
HG00281,FIN,EUR,female,-0.0113831,0.0242596,0.0146639,-0.0157751,-0.013508,-0.0416285,0.0422942,-0.0315185,0.018044,0.0166871
HG00282,FIN,EUR,female,-0.0110107,0.0236337,0.0129883,-0.0124157,-0.0137827,-0.0557807,0.0390499,-0.0544051,0.0110213,0.00114823
HG00284,FIN,EUR,male,-0.0118405,0.0245659,0.0161574,-0.0175064,-0.0177291,-0.0467602,0.0292159,-0.0370096,0.0259251,0.0233835
HG00285,FIN,EUR,female,-0.0114479,0.0202508,0.0172194,-0.0136089,-0.0255377,-0.0444682,0.0273259,-0.0324774,0.0401273,0.0208504
HG00288,FIN,EUR,female,-0.0116284,0.0262701,0.00738755,-0.00740831,0.00375575,0.00265785,0.027671,-0.0558555,0.00473221,0.00354091
HG00290,FIN,EUR,male,-0.0111333,0.0224388,0.0116202,-0.00770188,0.00550372,0.00597334,0.0439085,-0.0629288,-0.00693637,-0.0085005
HG00304,FIN,EUR,female,-0.0112397,0.0249349,0.0119431,-0.0147604,-0.0091572,0.00502814,0.0502721,-0.0723003,-0.00573041,-0.0112564
HG00306,FIN,EUR,female,-0.0122747,0.023573,0.0111388,-0.0115077,-0.0125996,-0.0430234,0.0293868,-0.0449333,0.0151336,0.00224563
HG00308,FIN,EUR,male,-0.00997768,0.0224834,0.0110394,-0.0135266,-0.00735571,-0.0443608,0.0478333,-0.0452965,-0.0262686,0.0274553
HG00309,FIN,EUR,female,-0.0117162,0.0241997,0.0199292,-0.0129088,0.00220965,-0.0393316,0.0513548,-0.0688803,-0.0114011,0.00894952
HG00310,FIN,EUR,male,-0.0107203,0.0234053,0.012287,-0.0123229,6.26745e-4,-0.0424513,0.0324224,-0.0421639,-0.0166874,0.0198455
HG00311,FIN,EUR,male,-0.0119382,0.0247368,0.0148843,-0.0188048,-0.0229368,-0.0316274,0.0174019,-0.036144,0.0491915,0.0172353
HG00313,FIN,EUR,female,-0.0123553,0.0245046,0.0158247,-0.0183061,-0.0029994,-0.0371896,0.0377863,-0.0472292,-0.0149303,-0.0155679
HG00315,FIN,EUR,female,-0.0118121,0.020588,0.0153082,-0.0127624,-0.0133093,-0.0540051,0.0512914,-0.0630656,0.014486,0.0139705
HG00318,FIN,EUR,female,-0.0120065,0.0225275,0.0151661,-0.0166599,-0.0105565,-0.0408742,0.0487373,-0.046274,-0.0206038,0.0239323
HG00319,FIN,EUR,female,-0.0109852,0.0229656,0.0172538,-0.015394,-0.0125248,-0.0382726,0.0308792,-0.0400482,0.0222859,0.0115003
HG00320,FIN,EUR,female,-0.0119361,0.0244125,0.0167362,-0.0179825,-0.00925541,-0.0432821,0.0390389,-0.0388356,-0.00370118,-0.0162021
HG00321,FIN,EUR,male,-0.0125043,0.0223994,0.0167278,-0.0110703,-0.0181324,-0.0402932,0.0288877,-0.0445693,0.0149301,-0.00790298
HG00323,FIN,EUR,female,-0.0111243,0.0224035,0.0201575,-0.0192626,-0.00717601,-0.0425915,0.0455849,-0.0604215,-0.0155545,-0.0183027
HG00324,FIN,EUR,female,-0.0124145,0.0224629,0.0144152,-0.015208,-0.0160472,-0.0509352,0.0516423,-0.0529386,0.012728,0.0207657
HG00325,FIN,EUR,male,-0.0115934,0.0219274,0.0189307,-0.0200559,-0.0135491,-0.0561035,0.0341262,-0.0715631,0.0403122,0.0273726
HG00326,FIN,EUR,female,-0.011427,0.0224505,0.0135462,-0.0141561,-0.0140761,-0.0451012,0.0215974,-0.0311458,0.0512717,-0.0095883
HG00327,FIN,EUR,female,-0.00994084,0.0263611,0.016303,-0.0177469,-0.00561424,-0.0469487,0.0526178,-0.0485034,0.00182031,0.00626198
HG00328,FIN,EUR,female,-0.0130164,0.0236309,0.0131165,-0.0168472,-0.00877177,-0.0614256,0.0383616,-0.0515375,0.00885656,0.0200918
HG00329,FIN,EUR,male,-0.0107428,0.0236386,0.0183459,-0.0139276,-0.0148765,-0.0437798,0.051021,-0.0454909,-0.0166341,-0.0154677
HG00330,FIN,EUR,female,-0.0115718,0.0227621,0.0179527,-0.0197361,-0.00237535,-0.0478343,0.0322571,-0.0461739,0.0101745,-0.00401926
HG00331,FIN,EUR,female,-0.0113165,0.02267,0.0139725,-0.0210957,-0.011984,-0.0422805,0.0477138,-0.0341917,-0.0139375,-0.00878529
HG00332,FIN,EUR,female,-0.0124072,0.0239628,0.0153864,-0.0184926,0.00638458,-0.0313002,0.0256675,-0.0367811,0.0290954,-0.00645259
HG00334,FIN,EUR,female,-0.0117605,0.0219598,0.0106561,-0.013767,-0.00159573,-0.0551029,0.0414315,-0.0342652,0.0129868,0.00623562
HG00335,FIN,EUR,male,-0.0119833,0.0231632,0.0181888,-0.02058,-0.0134645,-0.0413805,0.0454949,-0.0573631,0.0237617,-0.00825862
HG00336,FIN,EUR,male,-0.0121952,0.0209535,0.010026,-0.0113952,-0.026085,-0.0464068,0.0219084,-0.0418914,0.0234452,-0.0261332
HG00337,FIN,EUR,female,-0.011253,0.0211125,0.0158094,-0.0134046,-0.0124278,-0.0389937,0.043854,-0.0498866,-0.0282346,-0.00557144
HG00338,FIN,EUR,male,-0.0103517,0.024099,0.0163082,-0.018619,-0.00899696,-0.0451656,0.0283488,-0.0281593,0.014088,-0.0023909
HG00339,FIN,EUR,female,-0.0132525,0.0211209,0.0141042,-0.0147723,0.00360878,-0.0449544,0.0414881,-0.0426098,-0.0176707,0.0237294
HG00341,FIN,EUR,male,-0.0109896,0.0239317,0.017363,-0.0133045,-0.00417053,-0.0333126,0.0470056,-0.0403825,-0.0170693,-0.0233664
HG00342,FIN,EUR,male,-0.0113364,0.0220198,0.0165497,-0.0140195,-0.0105877,-0.0442426,0.043834,-0.0257648,5.52554e-4,-0.0303577
HG00343,FIN,EUR,female,-0.0118213,0.0220176,0.0137437,-0.0200029,-0.00607071,-0.041067,0.0301634,-0.0515716,0.0370632,0.0169852
HG00344,FIN,EUR,female,-0.0115332,0.0269715,0.0138092,-0.0183055,-0.0118215,-0.0398093,0.0310977,-0.0306781,-0.0188531,-0.03239
HG00345,FIN,EUR,male,-0.0119524,0.0221825,0.0163682,-0.0158281,-0.00239867,-0.0376282,0.0387932,-0.0491269,0.0370414,0.0311838
HG00346,FIN,EUR,female,-0.0112246,0.0232524,0.0153533,-0.0172748,0.00252553,-0.0386103,0.0414486,-0.0432902,-0.0210273,-0.036564
HG00349,FIN,EUR,female,-0.0115067,0.0257021,0.011468,-0.0203662,-0.0121599,0.00132567,0.00824809,-0.061501,0.0373731,0.0272806
HG00350,FIN,EUR,female,-0.0114647,0.0240902,0.0140054,-0.0130188,-0.00112453,0.00207611,-0.00122168,-0.0567643,0.0200994,0.0179952
HG00351,FIN,EUR,male,-0.0116549,0.0263576,0.0119624,-0.0109324,-0.00594223,-0.00861043,0.0154174,-0.0773319,-0.00645254,-0.0142522
HG00353,FIN,EUR,female,-0.0114806,0.0215553,0.014816,-0.0175961,-0.00373589,-0.0395182,0.0341498,-0.0379331,0.0234257,0.0181119
HG00355,FIN,EUR,female,-0.012594,0.0225815,0.0155174,-0.0139914,-0.00903183,1.05878e-5,0.0115022,-0.0645983,-0.0013654,0.0318264
HG00356,FIN,EUR,female,-0.0117604,0.0207884,0.0152519,-0.0160065,-0.00773859,0.00519465,0.0158234,-0.066102,0.00864463,0.0246347
HG00357,FIN,EUR,female,-0.0125166,0.025955,0.0156321,-0.0189015,-0.0188827,-0.0406539,0.0445131,-0.0299172,-0.0077976,0.0134582
HG00358,FIN,EUR,male,-0.0122958,0.024792,0.0125387,-0.0127004,-2.05427e-4,-0.00852134,0.021476,-0.0820613,0.00927265,0.0159979
HG00360,FIN,EUR,male,-0.0121673,0.0258832,0.0108497,-0.0134553,-0.00127918,-0.00338411,0.00771599,-0.0490416,0.0204082,0.0222107
HG00361,FIN,EUR,female,-0.0112794,0.0226821,0.0165434,-0.0171785,-0.0194416,-0.0402777,0.0475855,-0.0570356,0.0178257,0.0121398
HG00362,FIN,EUR,female,-0.0120867,0.0214323,0.010633,-0.00759321,-0.00983921,-0.00369705,0.0262756,-0.0711581,0.00859956,-0.0162576
HG00364,FIN,EUR,female,-0.0121674,0.0244149,0.0154901,-0.0169361,-0.0113604,0.00232869,0.0164909,-0.0666651,0.0120569,0.00120563
HG00365,FIN,EUR,female,-0.0105834,0.0238264,0.00921497,-0.0121838,-0.0112208,-0.0212497,0.030425,-0.0738229,0.0115276,0.0200999
HG00366,FIN,EUR,male,-0.0115897,0.0212312,0.0168846,-0.0153982,-0.0364612,-0.0428514,0.0330564,-0.050598,0.0312177,-0.00663679
HG00367,FIN,EUR,female,-0.0122121,0.0239372,0.0175681,-0.0192439,-0.0115729,-0.0342753,0.0294647,-0.0466302,-0.00658746,0.0420176
HG00368,FIN,EUR,female,-0.0106902,0.022906,0.0152519,-0.0173426,-0.0173163,-0.0446949,0.0563946,-0.0652447,-0.0241744,0.0301082
HG00369,FIN,EUR,male,-0.0125038,0.02063,0.0131163,-0.0123741,-0.0146568,-0.0371277,0.0335235,-0.0370586,0.00879595,-0.0101974
